time_slot,sun_altitude,sun_azimuth,timestamp_kst
8,29.55,83.16,2025-07-08 08:00:00+09:00
9,41.41,91.97,2025-07-08 09:00:00+09:00
10,53.19,102.8,2025-07-08 10:00:00+09:00
11,64.32,118.98,2025-07-08 11:00:00+09:00
12,72.99,149.58,2025-07-08 12:00:00+09:00
13,74.15,199.89,2025-07-08 13:00:00+09:00
14,66.64,235.74,2025-07-08 14:00:00+09:00
15,55.83,254.11,2025-07-08 15:00:00+09:00
16,44.13,265.75,2025-07-08 16:00:00+09:00
17,32.25,274.86,2025-07-08 17:00:00+09:00
18,20.52,283.1,2025-07-08 18:00:00+09:00
19,9.22,291.32,2025-07-08 19:00:00+09:00
